[1095.726558449077, 495.25714742060006]
[1091.453116898154, 490.5142948412001]
[1087.1796753472308, 485.77144226180013]
[1082.9062337963078, 481.02858968240014]
[1078.6327922453847, 476.2857371030002]
[1074.3593506944615, 471.54288452360026]
[1070.0859091435384, 466.80003194420027]
[1065.8124675926153, 462.0571793648003]
[1061.5390260416923, 457.31432678540034]
[1057.2655844907692, 452.5714742060004]
[1052.9921429398462, 447.82862162660047]
[1048.7187013889231, 443.0857690472005]
[1044.445259838, 438.3429164678005]
[1040.1718182870768, 433.60006388840054]
[1035.8983767361538, 428.8572113090006]
[1031.6249351852307, 424.1143587296006]
[1027.3514936343076, 419.3715061502007]
[1023.0780520833846, 414.6286535708007]
[1018.8046105324615, 409.88580099140074]
[1014.5311689815385, 405.1429484120008]
[1010.2577274306154, 400.4000958326008]
[1005.9842858796923, 395.6572432532008]
[1001.7108443287692, 390.9143906738009]
[997.4374027778462, 386.17153809440094]
[993.1639612269231, 381.42868551500095]
[988.8905196759999, 376.685832935601]
[984.6170781250769, 371.942980356201]
[980.3436365741538, 367.2001277768011]
[976.0701950232308, 362.45727519740115]
[971.7967534723077, 357.71442261800115]
[967.5233119213846, 352.9715700386012]
[963.2498703704615, 348.2287174592012]
[958.9764288195385, 343.4858648798013]
[954.7029872686154, 338.7430123004013]
[950.4295457176922, 334.00015972100135]
[946.1561041667692, 329.25730714160136]
[941.8826626158461, 324.5144545622014]
[941.8826626158461, 324.5144545622015]
[929.0, 318.0]
[925.1915435063543, 317.62194688233086]
[921.3830870127085, 317.2438937646617]
[917.5746305190627, 316.8658406469926]
[913.766174025417, 316.4877875293234]
[909.9577175317712, 316.10973441165424]
[906.1492610381254, 315.7316812939851]
[902.3408045444796, 315.35362817631596]
[898.5323480508339, 314.9755750586468]
[894.7238915571882, 314.5975219409777]
[890.9154350635423, 314.21946882330855]
[887.1069785698966, 313.8414157056394]
[883.2985220762508, 313.4633625879702]
[879.490065582605, 313.08530947030107]
[875.6816090889592, 312.70725635263193]
[871.8731525953135, 312.3292032349628]
[868.0646961016678, 311.95115011729365]
[864.2562396080219, 311.5730969996245]
[860.4477831143762, 311.19504388195537]
[856.6393266207305, 310.8169907642862]
[852.8308701270847, 310.43893764661703]
[849.0224136334389, 310.0608845289479]
[845.2139571397931, 309.68283141127876]
[841.4055006461474, 309.3047782936096]
[837.5970441525017, 308.9267251759405]
[833.7885876588558, 308.54867205827134]
[829.9801311652101, 308.17061894060214]
[826.1716746715643, 307.792565822933]
[822.3632181779185, 307.41451270526386]
[818.5547616842728, 307.0364595875947]
[814.746305190627, 306.6584064699256]
[810.9378486969813, 306.28035335225644]
[807.1293922033354, 305.9023002345873]
[803.3209357096897, 305.52424711691816]
[799.512479216044, 305.14619399924896]
[795.7040227223982, 304.7681408815798]
[791.8955662287524, 304.3900877639107]
[788.0871097351067, 304.01203464624155]
[788.0871097351067, 304.01203464624155]
[779.7196404947267, 304.96311443009466]
[778.0010513764529, 305.5427616040943]
[776.2824622581791, 306.12240877809404]
[774.5638731399052, 306.7020559520937]
[772.8452840216315, 307.2817031260934]
[771.1266949033577, 307.8613503000931]
[769.4081057850839, 308.4409974740928]
[767.68951666681, 309.02064464809246]
[765.9709275485362, 309.6002918220921]
[764.2523384302624, 310.17993899609183]
[762.5337493119886, 310.7595861700915]
[760.8151601937147, 311.3392333440912]
[759.096571075441, 311.9188805180909]
[757.3779819571672, 312.4985276920906]
[755.6593928388934, 313.07817486609025]
[753.9408037206196, 313.65782204008997]
[752.2222146023457, 314.23746921408963]
[750.5036254840719, 314.8171163880893]
[748.7850363657981, 315.396763562089]
[747.0664472475244, 315.97641073608867]
[745.3478581292505, 316.5560579100884]
[743.6292690109767, 317.13570508408804]
[741.9106798927029, 317.71535225808776]
[740.1920907744291, 318.2949994320874]
[738.4735016561552, 318.8746466060871]
[736.7549125378814, 319.4542937800868]
[735.0363234196077, 320.03394095408646]
[733.3177343013339, 320.6135881280862]
[731.59914518306, 321.19323530208584]
[729.8805560647862, 321.77288247608556]
[728.1619669465124, 322.3525296500852]
[726.4433778282386, 322.9321768240849]
[724.7247887099647, 323.5118239980846]
[723.0061995916909, 324.09147117208425]
[721.2876104734172, 324.671118346084]
[719.5690213551434, 325.25076552008363]
[717.8504322368696, 325.83041269408335]
[716.1318431185957, 326.410059868083]
[716.1318431185957, 326.410059868083]
[714.0, 327.0]
[710.1056850863885, 327.84897129566184]
[706.2113701727769, 328.69794259132374]
[702.3170552591653, 329.5469138869856]
[698.4227403455537, 330.3958851826474]
[694.5284254319422, 331.2448564783093]
[690.6341105183305, 332.09382777397116]
[686.739795604719, 332.94279906963305]
[682.8454806911075, 333.7917703652949]
[678.9511657774958, 334.64074166095673]
[675.0568508638843, 335.48971295661863]
[671.1625359502727, 336.3386842522805]
[667.2682210366612, 337.1876555479423]
[663.3739061230497, 338.0366268436042]
[659.479591209438, 338.88559813926605]
[655.5852762958265, 339.7345694349279]
[651.6909613822149, 340.5835407305898]
[647.7966464686033, 341.43251202625163]
[643.9023315549917, 342.2814833219135]
[640.0080166413802, 343.13045461757537]
[636.1137017277687, 343.9794259132372]
[632.219386814157, 344.8283972088991]
[628.3250719005455, 345.67736850456095]
[624.4307569869339, 346.5263398002228]
[620.5364420733223, 347.3753110958847]
[616.6421271597108, 348.2242823915465]
[612.7478122460992, 349.07325368720836]
[608.8534973324877, 349.92222498287026]
[604.959182418876, 350.7711962785321]
[601.0648675052645, 351.620167574194]
[597.170552591653, 352.46913886985584]
[593.2762376780414, 353.3181101655177]
[589.3819227644298, 354.1670814611796]
[585.4876078508182, 355.0160527568414]
[585.4876078508182, 355.0160527568414]
[581.3040755970121, 355.4748627936658]
[577.1171572233012, 355.04805686539225]
[573.1122541726666, 353.7545344173675]
[569.4667080453763, 351.6515740748205]
[566.3419477139627, 348.83229728107517]
[564.6550160860097, 346.95234315331317]
[562.9680844580566, 345.07238902555116]
[561.2811528301037, 343.19243489778916]
[559.5942212021506, 341.31248077002715]
[557.9072895741976, 339.43252664226515]
[556.2203579462447, 337.55257251450314]
[554.5334263182916, 335.6726183867412]
[552.8464946903387, 333.79266425897913]
[551.1595630623856, 331.9127101312172]
[549.4726314344326, 330.0327560034552]
[547.7856998064797, 328.15280187569317]
[546.0987681785266, 326.27284774793117]
[544.4118365505736, 324.39289362016916]
[542.7249049226206, 322.51293949240716]
[541.0379732946676, 320.63298536464515]
[539.3510416667147, 318.75303123688315]
[537.6641100387616, 316.87307710912114]
[535.9771784108086, 314.99312298135914]
[534.2902467828555, 313.11316885359713]
[532.6033151549026, 311.2332147258351]
[530.9163835269496, 309.3532605980731]
[529.2294518989966, 307.4733064703111]
[527.5425202710436, 305.59335234254917]
[525.8555886430905, 303.71339821478716]
[524.1686570151376, 301.83344408702516]
[522.4817253871846, 299.95348995926315]
[520.7947937592315, 298.07353583150115]
[519.1078621312786, 296.19358170373914]
[517.4209305033255, 294.31362757597714]
[515.7339988753725, 292.43367344821513]
[515.7339988753725, 292.43367344821513]
[513.5920661537664, 290.3767658265852]
[511.1691742552002, 288.65969285327606]
[508.5187403426863, 287.3203105989502]
[505.69919816658836, 286.38814823915914]
[502.77270978379795, 285.88375702868916]
[499.8037950794532, 285.8182572108858]
[496.8579093059433, 286.19309285118453]
[494.0, 287.0]
[490.38159099817995, 288.3187240934297]
[486.7631819963599, 289.63744818685933]
[483.14477299453984, 290.956172280289]
[479.5263639927198, 292.2748963737187]
[475.9079549908998, 293.5936204671484]
[472.2895459890797, 294.91234456057805]
[468.6711369872597, 296.23106865400774]
[465.0527279854396, 297.54979274743744]
[461.43431898361956, 298.8685168408671]
[457.81590998179956, 300.18724093429677]
[454.1975009799795, 301.50596502772646]
[450.57909197815945, 302.8246891211561]
[446.9606829763394, 304.1434132145858]
[443.34227397451934, 305.4621373080155]
[439.7238649726993, 306.7808614014451]
[436.10545597087923, 308.0995854948748]
[432.4870469690592, 309.4183095883045]
[428.8686379672391, 310.7370336817342]
[425.25022896541907, 312.05575777516384]
[421.63181996359907, 313.37448186859353]
[418.013410961779, 314.6932059620232]
[414.39500195995896, 316.01193005545286]
[410.7765929581389, 317.33065414888256]
[407.15818395631885, 318.64937824231225]
[403.5397749544988, 319.96810233574195]
[399.9213659526788, 321.2868264291716]
[396.30295695085874, 322.6055505226013]
[392.6845479490387, 323.92427461603097]
[389.06613894721863, 325.2429987094606]
[385.4477299453986, 326.5617228028903]
[381.8293209435785, 327.88044689632]
[378.21091194175847, 329.19917098974963]
[374.5925029399384, 330.5178950831793]
[370.9740939381184, 331.836619176609]
[367.35568493629836, 333.1553432700387]
[363.7372759344783, 334.47406736346835]
[360.11886693265825, 335.79279145689804]
[360.11886693265825, 335.79279145689804]
[353.0, 337.0]
[348.5766337325681, 336.94016247265665]
[344.15326746513614, 336.88032494531336]
[339.7299011977042, 336.82048741797]
[335.3065349302723, 336.7606498906267]
[330.8831686628403, 336.7008123632834]
[326.45980239540836, 336.64097483594]
[322.03643612797646, 336.58113730859674]
[317.6130698605445, 336.5212997812534]
[313.18970359311254, 336.46146225391004]
[308.76633732568064, 336.40162472656675]
[304.3429710582487, 336.3417871992234]
[299.9196047908167, 336.2819496718801]
[295.4962385233848, 336.22211214453677]
[291.07287225595286, 336.1622746171934]
[286.6495059885209, 336.1024370898501]
[282.226139721089, 336.0425995625068]
[277.80277345365704, 335.98276203516343]
[273.3794071862251, 335.92292450782014]
[268.9560409187932, 335.8630869804768]
[264.5326746513612, 335.8032494531335]
[260.1093083839293, 335.74341192579016]
[255.68594211649736, 335.6835743984468]
[251.26257584906543, 335.6237368711035]
[246.83920958163347, 335.56389934376017]
[242.41584331420154, 335.5040618164168]
[237.9924770467696, 335.44422428907353]
[233.56911077933768, 335.3843867617302]
[229.14574451190572, 335.3245492343869]
[224.7223782444738, 335.26471170704355]
[224.7223782444738, 335.26471170704355]
[220.5899252896531, 334.7758665041041]
[216.6480788560454, 333.4424559333881]
[213.0674828263982, 331.3222037953824]
[210.0031424296925, 328.5068965316258]
[207.5877140116692, 325.1184097582049]
[205.92576229616833, 321.30343222857425]
[205.08923374240612, 317.2271156271578]
[205.11434195810355, 313.0659250963424]
[206.0, 309.0]
[207.26452806454495, 305.1674135031589]
[208.5290561290899, 301.3348270063178]
[209.79358419363484, 297.5022405094767]
[211.0581122581798, 293.6696540126356]
[212.32264032272474, 289.8370675157945]
[213.58716838726968, 286.0044810189534]
[214.85169645181463, 282.1718945221123]
[216.11622451635958, 278.3393080252712]
[217.38075258090453, 274.5067215284301]
[218.64528064544947, 270.674135031589]
[219.90980870999442, 266.8415485347479]
[221.17433677453937, 263.0089620379068]
[222.43886483908432, 259.1763755410657]
[223.70339290362926, 255.34378904422462]
[224.9679209681742, 251.5112025473835]
[226.23244903271916, 247.67861605054242]
[227.4969770972641, 243.84602955370133]
[228.76150516180905, 240.0134430568602]
[230.026033226354, 236.18085656001912]
[231.29056129089895, 232.348270063178]
[232.5550893554439, 228.51568356633692]
[233.81961741998884, 224.68309706949583]
[235.0841454845338, 220.85051057265474]
[236.34867354907874, 217.01792407581362]
[237.6132016136237, 213.18533757897254]
[238.87772967816863, 209.35275108213142]
[240.14225774271358, 205.52016458529033]
[241.40678580725853, 201.68757808844924]
[242.67131387180348, 197.85499159160813]
[243.93584193634842, 194.02240509476704]
[245.20037000089337, 190.18981859792592]
[246.46489806543832, 186.35723210108483]
[246.46489806543832, 186.35723210108483]
[247.41242745570747, 181.63310990948926]
[247.2026567568967, 176.81946901298798]
[245.84776061063047, 172.1956828090873]
[243.42637428443075, 168.03010593597085]
[240.07902984937854, 164.56449954463406]
[236.0, 162.0]
[232.55481101128743, 160.37592727876554]
[229.10962202257485, 158.7518545575311]
[225.66443303386228, 157.12778183629663]
[222.2192440451497, 155.50370911506218]
[218.77405505643713, 153.87963639382772]
[215.32886606772456, 152.25556367259327]
[211.883677079012, 150.6314909513588]
[208.43848809029944, 149.00741823012436]
[204.99329910158687, 147.38334550888987]
[201.5481101128743, 145.75927278765545]
[198.10292112416172, 144.13520006642096]
[194.65773213544915, 142.51112734518654]
[191.2125431467366, 140.88705462395205]
[187.76735415802403, 139.26298190271763]
[184.32216516931146, 137.63890918148314]
[180.8769761805989, 136.0148364602487]
[177.43178719188631, 134.39076373901423]
[173.98659820317374, 132.76669101777978]
[170.54140921446117, 131.14261829654532]
[167.0962202257486, 129.51854557531087]
[163.65103123703602, 127.89447285407641]
[160.20584224832345, 126.27040013284196]
[156.76065325961088, 124.6463274116075]
[153.3154642708983, 123.02225469037305]
[149.87027528218573, 121.39818196913859]
[146.42508629347316, 119.77410924790414]
